,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
197102,20.31,17.87,16.78,19.17,18.43,68.05,73.73,63.6,68.34,65.3,138.44,141.97,144.09,132.49,135.33,318.38,342.28,306.12,351.57,343.65,2299.35,1603.08,1422.26,2164.91,1010.53
197103,21.94,19.23,17.74,19.77,19.18,70.94,75.72,64.96,69.27,65.41,144.21,143.91,146.78,133.57,137.91,329.42,351.01,306.56,361.15,345.91,2347.17,1597.68,1445.76,2128.28,1015.28
197104,23.69,20.25,19.04,21.06,20.08,76.62,81.26,68.67,71.48,66.33,159.3,157.95,151.52,137.18,143.91,351.45,372.55,318.77,368.24,358.48,2481.46,1641.39,1511.41,2139.61,1039.19
197105,23.98,21.06,19.49,21.57,20.44,78.09,83.25,70.53,74,70.7,170.04,164.27,158.87,139.69,155.74,362,383.83,324.72,383.75,389.15,2570.94,1730.07,1524.22,2195.95,1101.19
197106,22.5,19.97,18.34,20.37,19.1,75.73,77.92,66.35,70.59,67.28,162.53,159.51,150.26,134.17,144.74,353.41,369.9,310.2,369.54,376.76,2502.42,1643.88,1453.13,2057.85,1045.9
197107,23.99,19.4,20.94,19.45,15.77,71.07,69.06,69.11,66.04,67.27,155.62,149.11,154.25,146.46,141.2,340.99,342.62,329.38,377.47,400.63,2593.48,1150.76,1759.13,1941.86,1215.41
197108,21.89,17.82,19.44,18.2,14.81,66.46,65.7,66.6,61.69,63.05,143.47,141.8,149.58,137.13,134.4,329,326.96,316.08,360.94,369.55,2489.09,1104.84,1695.41,1874.9,1145.36
197109,22.61,18.59,19.99,19.06,15.59,69.11,70.12,68.43,65.09,67.81,152.77,148.62,152.13,145.99,146.12,350.74,339.33,322.91,370.38,405.97,2614.6,1150.97,1658.17,1892.56,1293.34
197110,22.95,18.9,19.88,18.93,15.22,70.51,69.23,66.94,63.5,66.19,154.64,148.47,150.53,143.91,141.31,357.19,334.83,320.33,368.07,387.69,2620.89,1135.78,1633.55,1863.54,1264.49
197111,21.2,17.58,18.37,18,14.12,66.31,65.39,64.75,60.44,61.85,142.55,138.44,145.63,136.67,133.7,346.01,322.22,312.64,346.37,364.06,2528.02,1074.41,1568.13,1806.77,1208.1
197112,20.46,16.51,17.66,17.15,13.33,65.07,63.7,63.37,58.49,60.26,139.81,136.26,143.62,130.9,127.04,345.82,315.24,302.74,345.31,346.01,2546.29,1081,1557.59,1779.78,1205.92
197201,23.59,18.95,19.63,19.15,15.07,73.27,72.84,71.44,64.72,66.93,158.72,149.6,157.56,146.47,142.35,388.45,344.84,327.87,373.08,389.01,2758.95,1179.24,1692.2,1900.1,1312.87
197202,26.73,21.55,21.93,21.22,17.23,80.01,77.62,75.18,69.02,74.16,167.21,156.48,162.02,154.49,154.17,399.14,351.62,331.93,383.49,420.82,2833.46,1184.41,1676.14,1912.75,1391.06
