,Agric,Mines,Oil  ,Stone,Cnstr,Food ,Smoke,Txtls,Apprl,Wood ,Chair,Paper,Print,Chems,Ptrlm,Rubbr,Lethr,Glass,Metal,MtlPr,Machn,Elctr,Cars ,Instr,Manuf,Trans,Phone,TV   ,Utils,Garbg,Steam,Water,Whlsl,Rtail,Money,Srvc 
201406,2.56,5.96,7.54,6.48,2.32,1.74,-1.17,7.83,1.21,1.94,0.4,3.13,8.68,1.84,0.95,2.18,-5,3.22,4.89,2.97,3.99,4.17,0.67,2.6,2.66,1.25,-0.67,2.79,5.41,4.28,-99.99,-99.99,0.99,1.27,3,2.5
201407,-8.2,0.84,-5.7,-4.21,-9.64,-4.93,-3.26,-5.7,-1.05,-7.25,-4.6,-6.16,-1.64,-1.28,-0.84,-3.21,0.66,-10.95,2.2,-6.7,-2.76,-0.84,-4.29,-2.06,-5.89,-2.05,1.62,-0.19,-6.48,-1.43,-99.99,-99.99,-3.09,-2.15,-2.07,0.48
201408,3.14,0.73,2.21,6.88,6.75,6.44,4.63,10.14,3.77,13.34,4.35,3.32,2.63,5.79,2.31,3.13,7,5.6,6.21,4.02,4.27,6.27,5.03,3.06,4.07,4.56,-2.7,2.35,5.39,3.29,-99.99,-99.99,4.75,5.21,3.79,3.18
201409,-2.41,-12.59,-8.95,-6.3,-7.4,-0.04,2.01,-2.38,0.32,-6.01,-6.9,-2.4,-7.3,0.21,-6.76,7.02,-3.1,-10.61,-4.79,-3.96,-4.45,-2.32,-4.32,-1.84,-2.87,0.7,0.66,-2.99,-3.4,-0.59,-99.99,-99.99,-2.23,-1.26,-0.66,-1.51
201410,3.25,-9.5,-10.33,-6.65,3.26,1.96,5.86,2.08,0.3,8.07,5.8,7.06,3.37,3.86,2.38,3.99,-1.51,-3.1,2.17,4.64,0.89,3.91,1.9,6.41,2.1,6.22,0.64,1.85,6.69,2.39,-99.99,-99.99,3.12,3,3.82,0.71
201411,3.71,-0.44,-13.93,0.08,0.85,5.52,0.98,7.53,10.5,2.27,4.72,4.99,0.98,2.55,-6.05,6.35,9.02,1.52,-2.46,1.38,2.82,6.61,4.54,4.19,5.15,5.87,0.42,4.47,0.29,0.23,-99.99,-99.99,1.86,8.54,1.98,1.81
201412,-0.06,-8.77,-0.63,-4.4,-1.58,-3.13,-2.89,-0.31,1.15,3.79,-0.12,1.35,1.81,-0.78,1.7,-0.71,-2.2,0.83,-6.6,1.53,-0.33,-2.77,-0.17,-0.01,-0.9,1.09,-6.35,0.66,1.85,1.79,-99.99,-99.99,0.45,1.81,2.06,-0.62
201501,-0.9,-8.17,-3.32,2.38,-6.53,-1.09,3.05,2.02,-3.5,-2.3,-1.53,-2.07,-2.19,0.48,-5.1,-3.86,-3.33,-1.63,-9.65,-5.52,-7.77,-0.49,-2.12,-1.28,-6.11,-4.53,-0.39,-7.09,1.18,-0.73,-99.99,-99.99,-2.53,0.11,-7.47,-4.1
201502,2.08,13.45,4.24,19.06,10.4,4.63,5.45,13.34,3.76,6.58,7.59,5.37,8.94,4.67,5.2,6.38,12.74,5.58,3.77,9.08,7.13,9.1,7.23,5.42,7.25,3.1,6.9,10.23,-4.37,5.76,-99.99,-99.99,4.89,5.71,7.86,7.83
201503,-5.28,-10.94,-2.6,0.32,1.44,-0.67,-8.47,3.33,-0.07,3.6,1.2,-2.4,0.56,-0.5,-2.48,2.82,-0.06,0.42,-2.72,0.61,-5.46,-2.7,-0.83,0.86,-2.58,-3.62,-4.22,-1.2,-0.28,1.41,-99.99,-99.99,0.54,0.76,0.12,-1.2
